species,basisOfRecord,brackish,catalogNumber,class,classid,date_end,date_mid,date_start,date_year,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,gigaclass,gigaclassid,infraphylum,infraphylumid,institutionCode,kingdom,kingdomid,locality,marine,occurrenceID,occurrenceStatus,order,orderid,ownerInstitutionCode,parvphylum,parvphylumid,phylum,phylumid,references,scientificName,scientificNameID,speciesid,subphylum,subphylumid,superclass,superclassid,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,coordinateUncertaintyInMeters,country,footprintWKT,geodeticDatum,associatedReferences,collectionCode,collectionID,depth,eventID,identifiedBy,individualCount,lifeStage,maximumDepthInMeters,minimumDepthInMeters,samplingProtocol,waterBody,accessRights,datasetName,day,island,islandGroup,license,modified,month,recordNumber,recordedBy,rightsHolder,taxonID,type,verbatimDepth,year,disposition,higherGeography,language,namePublishedInID,originalNameUsage,scientificNameAuthorship,specificEpithet,startDayOfYear,verbatimCoordinateSystem,verbatimCoordinates,verbatimLatitude,verbatimLongitude,continent,datasetID,acceptedNameUsage,acceptedNameUsageID,countryCode,dateIdentified,eventRemarks,fieldNumber,identificationID,institutionID,locationID,locationRemarks,preparations,previousIdentifications,taxonRank,verbatimSRS,typeStatus,georeferenceProtocol,georeferenceRemarks,higherClassification,nomenclaturalCode,stateProvince,unaccepted,bibliographicCitation,habitat,sex,coordinatePrecision,occurrenceRemarks,subfamily,subfamilyid,organismQuantity,organismQuantityType,vernacularName,endDayOfYear,footprintSRS
Thunnus albacares,Occurrence,True,EME_1-71746,Teleostei,293496.0,,,,,4.6874333333333,85.9389333333329,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-71746",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,0251e043-501b-47df-902b-58ef1ccedc95,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],4059.0,508508.0,28.93,34.26,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,#1307366767912#0.3754107889588847,Teleostei,293496.0,,,,,4.5834723,56.050137,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, SÃ¨te, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366767912#0.3754107889588847:0x20DAA70101000A00",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,0253d0e3-2db5-4ef7-8e50-8ec6cbe9beb1,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],4423.0,767732.0,28.22,35.52,,,,,,DCR (IRD),,,,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3127,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1307366767912#0.3754107889588847,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-35919,Teleostei,293496.0,,,,,11.25151,48.1006799999999,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-35919",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,025448ad-c7f8-41b4-b0ba-f7576f105ddc,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],593.0,13428.0,28.57,36.35,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-43170,Teleostei,293496.0,,,,,-9.8552,59.821566666667,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-43170",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,02548420-0694-4ef4-8c92-ea6e77e60faf,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],15.0,348053.0,27.6,34.81,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,HumanObservation,True,MCM-LINE-1791751,Teleostei,293496.0,847411200000.0,847411200000.0,847411200000.0,1996.0,-30.8066997528,30.4129009247,1996-11-08T12:00:00Z,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,MCM,Animalia,2.0,Shelly Beach,True,,,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,0254a8b5-a721-46e6-8910-abf523c202ec,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],-15.0,17.0,23.57,35.29,,South Africa,,,,LINE,,,,,,,,,,Indian,,,8,,,,,11,,,,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-35220,Teleostei,293496.0,,,,,10.9054199999999,45.90545,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-35220",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,0255486a-ad2e-4a72-ac15-a902900ff179,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],362.0,8612.0,28.52,36.4,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,#1307366727258#0.9697890407955988,Teleostei,293496.0,,,,,-5.033472,42.18347,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, SÃ¨te, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366727258#0.9697890407955988:0xBE6AA80101000800",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,02562020-dac2-4b82-8a73-7d8e393307c8,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],3367.0,255646.0,27.67,35.22,,,,,,DCR (IRD),,,,,,,,,,,,,,,,,2013-06-20 10:40:35,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3127,,,,,,,,,,,,,,,,,,,,,,,,IND,,EME_1-fr.ird.observe.entities.TailleThon#1307366727258#0.9697890407955988,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-54857,Teleostei,293496.0,,,,,-5.63718333333329,40.888733333333,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-54857",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,02583ef0-88f8-469b-ad25-9f5ec1b84b57,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],2415.0,123204.0,27.8,35.15,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-67946,Teleostei,293496.0,,,,,3.20124999999999,74.184483333333,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-67946",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,025bc880-dc44-4b50-a0cb-8f304a36698e,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],2478.0,52180.0,29.1,34.91,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
Thunnus albacares,Occurrence,True,EME_1-58942,Teleostei,293496.0,,,,,-2.51976666666669,66.5869333333329,,Scombridae,125559.0,Thunnus,126065.0,Actinopterygii,10194.0,Gnathostomata,1828.0,"IRD, UMR EME, Sète, France",Animalia,2.0,,True,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-58942",present,Scombriformes,1517490.0,,Osteichthyes,152352.0,Chordata,1821.0,,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,127027.0,Vertebrata,146419.0,Actinopteri,843664.0,025bfadb-dc1d-44fc-8358-26db1784c0b6,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027.0,['NO_DEPTH'],3527.0,648830.0,29.15,35.1,,,,,,ll_YugNIRO,,,,,,,,,,,,,,,,,2013-06-20 10:06:23,,,,,,,,,,,,,,,,,,,,,,https://marineinfo.org/id/dataset/3125,,,,,,,,,,,,,,,,,,,,,,,,,,,Scombrinae,267118.0,,,,,
